# Generated by src/org/elixir_lang/annotator/unicode_security/generate.exs from https://github.com/elixir-lang/elixir/tree/7b20c281d521aa7aa2ad2baa1e9ae6c579d79d0c/lib/elixir/unicode
# for Elixir 1.18.4. Do not edit.
#
#     <first code point>\t<last code point>\t<u upper, s start, c continue>\t<script set: indexes into scripts, or * for all>
scripts	Latin	Arabic	Armenian	Avestan	Bengali	Bopomofo	Carian	Caucasian_Albanian	Chakma	Cherokee	Coptic	Cyrillic	Devanagari	Dogra	Duployan	Elbasan	Ethiopic	Georgian	Glagolitic	Gothic	Grantha	Greek	Gujarati	Gunjala_Gondi	Gurmukhi	Han	Han with Bopomofo	Hangul	Hebrew	Hiragana	Japanese	Kaithi	Kannada	Katakana	Khmer	Khojki	Korean	Lao	Lisu	Lydian	Mahajani	Malayalam	Multani	Myanmar	Nandinagari	Old_Permic	Oriya	Osage	Shavian	Sinhala	Sunuwar	Syloti_Nagri	Syriac	Tai_Le	Tamil	Telugu	Thaana	Thai	Tibetan	Tifinagh	Todhri	Toto	Tulu_Tigalari	Yezidi	Yi
307	307	c	0,10,14,28,45,52,53,59,60
308	308	c	0,2,11,14,19,21,28,45,52,53
309	309	c	0,59
30A	30A	c	0,14,52
30B	30B	c	0,9,11,47
30C	30C	c	0,9,53
30F	30F	c	*
310	310	c	0,50
311	311	c	0,11,60
313	313	c	0,21,45,60
314	314	c	*
31B	31B	c	*
323	323	c	0,9,14,30,33,52
324	324	c	0,9,14,52
325	325	c	0,52
326	328	c	*
32D	32D	c	0,50,52
32E	32E	c	0,52
330	330	c	0,9,52
331	331	c	0,7,9,19,50,57
335	335	c	*
338	339	c	*
342	342	c	21
345	345	c	21
37B	37D	s	21
386	386	u	21
388	38A	u	21
38C	38C	u	21
38E	38F	u	21
390	390	s	21
391	3A1	u	21
3A3	3AB	u	21
3AC	3BB	s	21
3BC	3BC	s	*
3BD	3CE	s	21
3FC	3FC	s	21
3FD	3FF	u	21
400	42F	u	11
430	45F	s	11
48A	48A	u	11
48B	48B	s	11
48C	48C	u	11
48D	48D	s	11
48E	48E	u	11
48F	48F	s	11
490	490	u	11
491	491	s	11
492	492	u	11
493	493	s	11
494	494	u	11
495	495	s	11
496	496	u	11
497	497	s	11
498	498	u	11
499	499	s	11
49A	49A	u	11
49B	49B	s	11
49C	49C	u	11
49D	49D	s	11
49E	49E	u	11
49F	49F	s	11
4A0	4A0	u	11
4A1	4A1	s	11
4A2	4A2	u	11
4A3	4A3	s	11
4A4	4A4	u	11
4A5	4A5	s	11
4A6	4A6	u	11
4A7	4A7	s	11
4A8	4A8	u	11
4A9	4A9	s	11
4AA	4AA	u	11
4AB	4AB	s	11
4AC	4AC	u	11
4AD	4AD	s	11
4AE	4AE	u	11
4AF	4AF	s	11
4B0	4B0	u	11
4B1	4B1	s	11
4B2	4B2	u	11
4B3	4B3	s	11
4B4	4B4	u	11
4B5	4B5	s	11
4B6	4B6	u	11
4B7	4B7	s	11
4B8	4B8	u	11
4B9	4B9	s	11
4BA	4BA	u	11
4BB	4BB	s	11
4BC	4BC	u	11
4BD	4BD	s	11
4BE	4BE	u	11
4BF	4BF	s	11
4C0	4C1	u	11
4C2	4C2	s	11
4C3	4C3	u	11
4C4	4C4	s	11
4C5	4C5	u	11
4C6	4C6	s	11
4C7	4C7	u	11
4C8	4C8	s	11
4C9	4C9	u	11
4CA	4CA	s	11
4CB	4CB	u	11
4CC	4CC	s	11
4CD	4CD	u	11
4CE	4CF	s	11
4D0	4D0	u	11
4D1	4D1	s	11
4D2	4D2	u	11
4D3	4D3	s	11
4D4	4D4	u	11
4D5	4D5	s	11
4D6	4D6	u	11
4D7	4D7	s	11
4D8	4D8	u	11
4D9	4D9	s	11
4DA	4DA	u	11
4DB	4DB	s	11
4DC	4DC	u	11
4DD	4DD	s	11
4DE	4DE	u	11
4DF	4DF	s	11
4E0	4E0	u	11
4E1	4E1	s	11
4E2	4E2	u	11
4E3	4E3	s	11
4E4	4E4	u	11
4E5	4E5	s	11
4E6	4E6	u	11
4E7	4E7	s	11
4E8	4E8	u	11
4E9	4E9	s	11
4EA	4EA	u	11
4EB	4EB	s	11
4EC	4EC	u	11
4ED	4ED	s	11
4EE	4EE	u	11
4EF	4EF	s	11
4F0	4F0	u	11
4F1	4F1	s	11
4F2	4F2	u	11
4F3	4F3	s	11
4F4	4F4	u	11
4F5	4F5	s	11
4F6	4F6	u	11
4F7	4F7	s	11
4F8	4F8	u	11
4F9	4F9	s	11
4FA	4FA	u	11
4FB	4FB	s	11
4FC	4FC	u	11
4FD	4FD	s	11
4FE	4FE	u	11
4FF	4FF	s	11
510	510	u	11
511	511	s	11
512	512	u	11
513	513	s	11
514	514	u	11
515	515	s	11
516	516	u	11
517	517	s	11
518	518	u	11
519	519	s	11
51A	51A	u	11
